Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2014","2014","t","656807","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2015","2015","ha","109427","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2015","2015","kg/ha","9490.6","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2015","2015","t","1038530","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2016","2016","ha","111615","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2016","2016","kg/ha","10330.2","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2016","2016","t","1153009","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2017","2017","ha","113848","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2017","2017","kg/ha","10752.9","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2017","2017","t","1224192","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2018","2018","ha","116125","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2018","2018","kg/ha","11219.5","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2018","2018","t","1302859","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2019","2019","ha","119718","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2019","2019","kg/ha","12861.5","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2019","2019","t","1539755.85","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2020","2020","ha","152705","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2020","2020","kg/ha","10096.4","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2020","2020","t","1541769","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2021","2021","ha","152734","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2021","2021","kg/ha","10252","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2021","2021","t","1565830","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2022","2022","ha","156460","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2022","2022","kg/ha","10294.8","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2022","2022","t","1610731","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2023","2023","ha","234124","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2023","2023","kg/ha","8128.6","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2023","2023","t","1903102","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5312","Area harvested","01314","Dates","2024","2024","ha","257613","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01314","Dates","2024","2024","kg/ha","7482.4","E","Estimated value",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","01314","Dates","2024","2024","t","1927556.12","I","Value imputed by a receiving agency",""
